CustomerId,Surname,Age,Gender,Marital Status,Education Level,Account Balance Trend,Loan History,Frequency of Deposits/Withdrawals,Average Transaction Value,Account Activity,Use of Savings Products,Use of Loan Products,Use of Digital Banking,Participation in Group Lending,Tenure,Number of Complaints Logged,Response Time to Complaints,Customer Support Interactions,Repayment Timeliness,Overdue Loan Frequency,Penalties Paid,Exited
SMB15565729,Yusuf,55,Male,Single,Primary,Stable,Defaulted,4,8640.006973478525,Active,0,1,USSD,0,8,2,3,1,On-time,1,3196.1782258475614,0
SMB15565730,Adekunle,67,Female,Single,None,Stable,Active,2,39707.46521858488,Active,1,1,None,1,7,3,1,4,On-time,3,3950.336322767527,0
SMB15565731,Adebayo,47,Male,Single,Secondary,Stable,Active,6,4147.5271548136225,Active,0,0,USSD,1,8,3,12,5,Late,3,2480.6026951296444,0
SMB15565732,Yusuf,68,Male,Single,Secondary,Decreasing,Active,3,10508.640132034645,Active,0,1,None,0,8,4,8,0,Late,0,386.70044018810137,0
SMB15565733,Olawale,80,Male,Married,Secondary,Increasing,Cleared,6,33151.336010655104,Dormant,0,0,None,1,5,2,13,7,Late,2,3188.2189610605883,0
SMB15565734,Okonkwo,69,Male,Married,None,Increasing,Defaulted,2,42891.35716904249,Active,1,1,App,1,2,2,3,1,On-time,1,7926.249014508286,1
SMB15565735,Adesina,55,Female,Single,Tertiary,Stable,Defaulted,8,13381.301759228103,Dormant,0,1,None,1,0,1,3,4,On-time,1,3601.090885916426,0
SMB15565736,Yusuf,47,Female,Divorced,Secondary,Stable,Defaulted,3,17032.388685616734,Dormant,0,1,Both,0,7,0,10,7,On-time,4,3233.697552343533,0
SMB15565737,Eze,68,Male,Single,Secondary,Stable,Cleared,6,27318.916666050256,Active,0,1,USSD,0,9,1,5,4,Late,4,9417.531379115846,0
SMB15565738,Adebayo,22,Female,Divorced,Secondary,Stable,Active,4,11367.067517975815,Dormant,1,1,Both,0,2,3,7,2,On-time,1,416.307187145013,0
SMB15565739,Nwachukwu,46,Female,Single,Tertiary,Stable,Cleared,5,40746.65681778778,Active,1,1,None,0,6,4,4,5,On-time,2,7672.88195641983,0
SMB15565740,Nwachukwu,21,Female,Married,Secondary,Increasing,Cleared,6,38908.19560528228,Dormant,0,1,USSD,0,9,2,11,0,On-time,3,4830.9359831434995,0
SMB15565741,Sule,27,Male,Married,Secondary,Increasing,Cleared,1,8119.293886323299,Dormant,1,1,USSD,1,5,1,7,0,Late,0,9444.625075105407,1
SMB15565742,Olawale,73,Male,Married,Tertiary,Increasing,Active,5,23727.656859014973,Active,1,1,App,1,2,4,0,7,On-time,3,3934.707441633918,0
SMB15565743,Yusuf,34,Male,Divorced,Secondary,Stable,Cleared,7,38966.56056607645,Active,1,1,USSD,1,5,4,12,6,On-time,0,7080.423370055218,0
SMB15565744,Yusuf,91,Female,Single,Primary,Decreasing,Active,6,17529.147024067326,Active,1,0,USSD,0,2,0,3,9,Late,2,699.3536439051484,0
SMB15565745,Sule,34,Male,Divorced,Secondary,Stable,Defaulted,6,32022.23431316885,Active,1,0,App,1,8,2,0,9,On-time,1,9287.72425583881,1
SMB15565746,Onuoha,86,Male,Single,Primary,Stable,Cleared,7,3460.4429514210638,Active,1,0,USSD,0,0,4,2,2,On-time,2,3445.4266679859256,0
SMB15565747,Onuoha,51,Male,Single,Primary,Stable,Active,4,30825.74926593658,Active,0,1,None,1,7,2,10,7,On-time,1,5240.045757842865,0
SMB15565748,Sule,23,Female,Single,Secondary,Increasing,Cleared,3,8479.996020029743,Dormant,1,0,USSD,1,4,1,6,7,On-time,4,1384.816087629671,0
SMB15565749,Onuoha,70,Male,Married,Tertiary,Decreasing,Active,8,41698.582930608114,Active,1,1,USSD,1,3,4,0,0,On-time,0,9455.578712202408,0
SMB15565750,Chukwu,83,Female,Single,Tertiary,Stable,Cleared,4,18417.023715443444,Dormant,1,1,USSD,1,0,4,4,9,On-time,4,6729.704039298935,0
SMB15565751,Yusuf,60,Female,Married,Primary,Decreasing,Defaulted,5,14796.13927368159,Dormant,1,0,USSD,1,8,1,0,6,On-time,1,539.4747683611223,0
SMB15565752,Abdullahi,40,Male,Married,Secondary,Decreasing,Active,5,42203.55985886276,Active,1,1,None,0,8,2,5,1,Late,0,1552.0677917928338,0
SMB15565753,Bello,72,Female,Married,Primary,Stable,Active,3,3457.0571305187,Dormant,1,0,USSD,0,4,2,8,1,On-time,0,3998.3399764264973,1
SMB15565754,Eze,33,Male,Married,Tertiary,Stable,Cleared,9,20433.831167382894,Active,1,1,App,0,8,4,2,1,On-time,4,2167.7101238427176,1
SMB15565755,Chukwu,25,Female,Married,Tertiary,Stable,Active,8,19130.173488176537,Active,1,1,USSD,0,9,1,10,4,On-time,0,3046.2556951633055,0
SMB15565756,Adekunle,21,Male,Single,Secondary,Decreasing,Active,6,14955.21833822799,Dormant,1,1,USSD,1,8,3,10,6,Late,1,9974.911608761766,0
SMB15565757,Chukwu,21,Female,Single,Tertiary,Stable,Active,3,45675.96226807238,Active,1,0,None,0,6,2,13,3,On-time,1,6586.486971498026,1
SMB15565758,Abdullahi,73,Female,Single,Secondary,Increasing,Cleared,5,37795.49128231939,Active,1,1,USSD,1,7,3,11,3,On-time,4,9222.176023144519,0
SMB15565759,Adekunle,42,Female,Single,Secondary,Stable,Defaulted,5,4132.235045405,Dormant,1,1,None,0,0,4,14,8,On-time,2,4357.983748543291,0
SMB15565760,Eze,84,Female,Single,None,Increasing,Active,5,36019.68502231275,Dormant,1,1,USSD,0,3,3,5,9,On-time,1,7102.822844905679,0
SMB15565761,Abdullahi,84,Male,Single,Primary,Stable,Active,3,26837.657523310903,Dormant,0,1,USSD,1,9,3,3,8,On-time,1,4596.9029216128865,1
SMB15565762,Okafor,44,Female,Divorced,Secondary,Increasing,Active,7,45142.526825677385,Dormant,0,0,Both,0,9,2,5,6,Late,0,3282.2454285502413,0
SMB15565763,Bello,49,Female,Married,Secondary,Decreasing,Active,3,16334.335250069566,Active,1,1,None,1,3,4,1,9,On-time,0,5191.731465010563,0
SMB15565764,Eze,67,Female,Single,Primary,Decreasing,Defaulted,0,29133.937980869563,Active,1,1,USSD,1,8,3,3,3,Late,1,4273.1104178748665,0
SMB15565765,Yusuf,78,Male,Married,Tertiary,Decreasing,Cleared,6,25537.008462308317,Dormant,0,0,USSD,0,2,2,12,7,On-time,4,9805.406486806936,1
SMB15565766,Onuoha,68,Female,Single,None,Stable,Active,6,24988.48440515268,Active,0,1,USSD,1,9,3,12,9,Late,2,4961.664052164008,0
SMB15565767,Okafor,36,Female,Married,Secondary,Increasing,Active,4,23349.164576343417,Active,1,1,App,0,9,2,6,2,On-time,0,8111.131328987955,0
SMB15565768,Olawale,38,Female,Married,Secondary,Stable,Active,5,11075.844301081783,Active,1,1,USSD,1,0,4,10,2,On-time,0,6668.194682958485,1
SMB15565769,Eze,22,Male,Married,Secondary,Stable,Cleared,9,38029.786202127245,Dormant,1,0,None,1,4,1,5,6,On-time,2,4796.272372174225,0
SMB15565770,Olawale,59,Female,Married,Secondary,Increasing,Cleared,5,23115.465604225144,Active,1,0,USSD,0,6,2,8,8,On-time,0,4741.500724663361,0
SMB15565771,Adekunle,78,Male,Divorced,Primary,Stable,Cleared,4,47967.29747512768,Dormant,0,1,USSD,1,3,2,10,3,Late,4,3418.9011706203764,1
SMB15565772,Okafor,39,Female,Married,None,Increasing,Active,3,13779.612932446038,Active,0,1,None,0,8,3,6,3,On-time,0,1069.8180763205612,0
SMB15565773,Bello,38,Male,Married,Secondary,Decreasing,Active,6,34454.44814172501,Active,0,0,USSD,1,5,4,0,0,On-time,0,7614.693289373168,0
SMB15565774,Yusuf,87,Female,Married,Secondary,Stable,Active,2,47095.13690231631,Active,1,1,USSD,1,5,0,5,0,On-time,1,9180.94793200539,0
SMB15565775,Sule,18,Female,Married,None,Increasing,Active,6,33509.45782778853,Active,0,0,USSD,1,2,0,10,2,Late,4,2179.5485466011764,0
SMB15565776,Yusuf,22,Male,Single,Secondary,Stable,Defaulted,6,43692.37247325233,Dormant,1,1,None,1,9,1,2,6,On-time,4,9256.734939291973,0
SMB15565777,Abdullahi,29,Female,Single,Primary,Stable,Cleared,6,41546.5670280933,Active,1,1,USSD,0,9,4,7,8,Late,1,2323.042180582782,0
SMB15565778,Yusuf,63,Male,Single,Secondary,Stable,Cleared,5,18645.76805896119,Active,1,1,USSD,1,4,2,12,3,Late,3,5300.791019837751,1
SMB15565779,Adesina,51,Female,Married,Tertiary,Decreasing,Cleared,3,30406.07305703533,Active,1,1,USSD,0,9,0,0,1,Late,2,3436.2199612713785,0
SMB15565780,Ibrahim,66,Female,Married,None,Decreasing,Active,4,8656.805650756425,Active,0,1,Both,1,5,1,9,5,On-time,4,1145.0878591225821,0
SMB15565781,Sule,62,Female,Single,None,Decreasing,Cleared,4,27240.768252084377,Active,1,1,None,0,3,4,1,5,On-time,3,528.3837495554733,0
SMB15565782,Chukwu,44,Female,Divorced,Secondary,Decreasing,Active,5,12290.676618902524,Active,0,1,Both,1,2,1,2,8,On-time,2,3653.465321442274,0
SMB15565783,Onuoha,90,Female,Divorced,Secondary,Stable,Active,4,37443.10393266984,Dormant,0,1,USSD,1,4,0,13,3,Late,4,473.4386454943995,0
SMB15565784,Adebayo,43,Male,Married,Secondary,Stable,Cleared,4,26874.862672714105,Dormant,1,0,App,1,6,3,2,7,Late,0,1042.064375378513,0
SMB15565785,Bello,64,Male,Married,Tertiary,Increasing,Active,5,21150.140768951365,Active,0,1,USSD,0,5,3,6,2,On-time,4,1422.9757879798422,1
SMB15565786,Okafor,73,Female,Married,Tertiary,Stable,Defaulted,5,14171.0577121819,Active,1,0,USSD,1,1,4,12,1,Late,2,19.15706178999055,0
SMB15565787,Ibrahim,80,Female,Single,Tertiary,Stable,Active,5,49936.22561022305,Active,1,1,App,1,0,1,7,8,On-time,3,1532.5221584365345,0
SMB15565788,Bello,65,Female,Married,Secondary,Stable,Cleared,7,4513.815523361702,Active,0,0,App,1,4,2,14,5,On-time,0,5772.786803783746,1
SMB15565789,Okafor,78,Female,Single,Primary,Increasing,Cleared,3,3134.473348048581,Dormant,0,1,USSD,0,4,0,8,7,On-time,2,8195.231220959366,0
SMB15565790,Onuoha,43,Male,Married,Primary,Increasing,Active,2,11645.612624199362,Dormant,1,0,None,0,5,3,6,9,Late,2,1934.2995940806984,0
SMB15565791,Okonkwo,53,Female,Single,None,Stable,Cleared,4,48582.55047276316,Active,1,1,USSD,0,2,3,7,8,Late,4,808.7260384750028,0
SMB15565792,Okonkwo,18,Male,Married,Secondary,Stable,Active,4,48982.670247679234,Dormant,1,1,Both,0,0,1,10,0,Late,1,7295.141984358722,0
SMB15565793,Olawale,25,Male,Divorced,Primary,Increasing,Defaulted,6,33091.459003834665,Active,1,1,USSD,0,3,3,14,0,Late,1,81.62711457216032,0
SMB15565794,Bello,69,Male,Single,Tertiary,Increasing,Cleared,3,44125.22669311383,Active,1,1,USSD,0,3,1,5,4,On-time,0,7341.621020363812,0
SMB15565795,Okonkwo,64,Male,Married,Secondary,Stable,Cleared,5,11484.124811198973,Active,1,1,App,0,9,0,1,8,Late,2,1311.1723586688129,0
SMB15565796,Adesina,73,Male,Divorced,Secondary,Increasing,Cleared,5,48630.062614654555,Active,0,1,App,0,1,1,0,6,On-time,3,2282.850621194035,0
SMB15565797,Sule,31,Male,Married,Primary,Stable,Active,5,7996.457656838668,Dormant,1,1,USSD,0,7,3,2,6,Late,0,1200.6991088802954,1
SMB15565798,Okafor,45,Female,Married,None,Stable,Cleared,5,5955.1342209012555,Active,1,1,USSD,1,5,1,8,1,Late,0,2473.381570513945,0
SMB15565799,Olawale,19,Male,Married,None,Increasing,Cleared,3,6498.365423116372,Active,1,0,Both,1,2,3,12,2,On-time,4,7981.759384617949,1
SMB15565800,Yusuf,43,Male,Single,Primary,Increasing,Cleared,10,29083.26824035567,Dormant,1,1,USSD,0,0,4,6,3,On-time,3,1325.4410512507575,1
SMB15565801,Okafor,31,Male,Single,None,Stable,Active,5,39267.74563518457,Dormant,1,1,App,1,2,3,1,1,On-time,2,9941.65632293534,0
SMB15565802,Olawale,76,Male,Single,Secondary,Increasing,Cleared,4,18966.69171585702,Dormant,0,1,USSD,1,7,3,13,9,Late,2,3270.977760977919,0
SMB15565803,Onuoha,73,Male,Married,Tertiary,Increasing,Defaulted,4,48916.9034015202,Dormant,1,1,USSD,1,3,3,0,8,On-time,2,9219.68125508329,1
SMB15565804,Bello,24,Male,Single,Tertiary,Increasing,Active,7,22286.586767798144,Active,1,1,USSD,0,2,4,1,4,On-time,0,1900.3307983554662,0
SMB15565805,Onuoha,20,Female,Married,Secondary,Increasing,Defaulted,3,8371.978987887598,Dormant,1,0,USSD,0,3,2,14,6,Late,4,1878.9751994440173,0
SMB15565806,Sule,40,Female,Married,Primary,Increasing,Active,6,23832.370661120698,Dormant,0,1,App,1,3,3,2,8,On-time,0,5653.356830430738,0
SMB15565807,Sule,35,Female,Married,Tertiary,Stable,Defaulted,2,34272.82110569955,Dormant,0,1,USSD,0,1,2,13,4,On-time,1,506.0008490467793,0
SMB15565808,Ibrahim,55,Male,Married,Tertiary,Stable,Cleared,4,41779.063244714554,Dormant,1,1,USSD,0,3,0,5,5,On-time,1,8010.0289763559285,1
SMB15565809,Onuoha,32,Male,Divorced,None,Stable,Defaulted,4,23479.64620787305,Active,1,1,USSD,0,8,1,11,3,On-time,2,4396.152506680539,0
SMB15565810,Abdullahi,81,Female,Married,Secondary,Stable,Cleared,4,30086.734476409205,Dormant,0,0,USSD,0,3,2,8,7,Late,4,6991.964733528545,0
SMB15565811,Yusuf,45,Male,Married,Primary,Increasing,Defaulted,8,14099.890895783814,Active,1,1,USSD,1,0,0,7,0,On-time,2,1746.3220349601938,0
SMB15565812,Eze,91,Male,Married,Tertiary,Increasing,Active,5,32649.909793870185,Active,0,0,USSD,0,0,1,9,0,On-time,2,6423.573507861904,0
SMB15565813,Onuoha,56,Male,Married,Tertiary,Stable,Active,8,49312.62525356684,Active,1,1,USSD,1,0,3,8,4,On-time,0,5940.706543516936,0
SMB15565814,Ibrahim,74,Male,Divorced,None,Stable,Defaulted,5,3403.625056801899,Dormant,1,1,App,1,4,3,10,9,On-time,2,7556.612519179437,0
SMB15565815,Adekunle,34,Male,Single,Tertiary,Stable,Active,7,44440.00286455322,Active,0,1,App,1,5,3,10,8,Late,2,2974.0129265097057,0
SMB15565816,Adesina,61,Male,Single,Secondary,Stable,Active,8,28551.842635608617,Active,1,1,USSD,0,5,4,7,1,Late,4,9331.655749715092,1
SMB15565817,Okafor,42,Female,Married,Tertiary,Increasing,Defaulted,3,13352.834318552697,Active,1,1,USSD,0,5,4,6,2,On-time,4,9613.01069395732,0
SMB15565818,Sule,34,Male,Married,Primary,Stable,Active,4,47789.59579045364,Dormant,0,0,USSD,0,8,4,5,7,On-time,4,8681.236112213548,0
SMB15565819,Adekunle,30,Female,Married,Tertiary,Increasing,Active,6,24684.36084988605,Active,1,1,USSD,0,0,4,7,4,On-time,2,5720.337661605418,0
SMB15565820,Ibrahim,42,Female,Married,None,Decreasing,Defaulted,4,17252.822331995896,Dormant,1,0,App,1,9,0,5,2,On-time,4,4202.882706613505,0
SMB15565821,Olawale,85,Female,Single,Primary,Stable,Active,4,9893.383785271217,Dormant,1,1,USSD,0,5,0,1,5,On-time,4,579.9241856995485,0
SMB15565822,Eze,27,Female,Married,None,Stable,Cleared,6,12978.158302576441,Active,0,0,USSD,1,7,3,12,5,Late,3,9472.278014609896,0
SMB15565823,Yusuf,84,Female,Married,Tertiary,Stable,Cleared,2,41809.60303798068,Active,0,1,USSD,1,7,1,8,4,On-time,3,9517.813436983668,0
SMB15565824,Yusuf,35,Male,Married,Tertiary,Increasing,Cleared,4,31106.090456541126,Dormant,1,0,USSD,1,2,4,8,4,On-time,1,186.88454979683854,1
SMB15565825,Yusuf,51,Male,Married,Tertiary,Increasing,Active,2,45749.03535492749,Dormant,0,1,None,1,4,1,2,5,On-time,0,3568.8754664072007,0
SMB15565826,Adesina,25,Male,Divorced,Tertiary,Stable,Cleared,8,12366.454155731506,Dormant,1,1,USSD,0,9,0,8,1,On-time,0,8800.363682582618,0
SMB15565827,Eze,57,Female,Single,None,Increasing,Cleared,7,6935.790118596173,Active,0,1,None,0,3,4,1,5,Late,4,808.520330396183,1
SMB15565828,Adesina,59,Female,Married,Primary,Decreasing,Cleared,2,1298.2890178039102,Dormant,1,1,Both,0,0,0,11,1,On-time,1,1965.6637671020737,0
SMB15565829,Sule,58,Male,Married,None,Stable,Active,5,25885.239843183695,Active,1,1,App,0,8,0,13,2,On-time,1,9786.773168195909,0
SMB15565830,Adesina,23,Female,Married,Primary,Stable,Cleared,6,49917.039588717416,Active,1,1,App,1,4,2,2,1,On-time,3,8472.888121203485,1
SMB15565831,Adebayo,69,Male,Married,Primary,Decreasing,Cleared,7,35053.29817211331,Dormant,1,1,Both,0,1,0,13,0,Late,1,9120.634940837637,1
SMB15565832,Eze,43,Female,Single,Primary,Increasing,Defaulted,7,16111.335006292158,Active,1,1,USSD,0,1,3,5,0,On-time,2,1421.544186553172,0
SMB15565833,Abdullahi,81,Male,Single,Primary,Decreasing,Cleared,7,43966.07056828241,Dormant,1,1,App,1,6,0,13,8,Late,4,2113.15958966845,0
SMB15565834,Eze,76,Male,Single,None,Increasing,Defaulted,6,39304.39103341002,Active,0,0,None,0,3,4,3,3,On-time,2,6054.16584351749,1
SMB15565835,Ibrahim,73,Male,Married,None,Decreasing,Defaulted,5,1755.3431377504235,Dormant,1,1,None,1,0,3,7,4,Late,0,5017.382210026992,1
SMB15565836,Adebayo,76,Male,Single,None,Stable,Active,5,41026.1635465101,Active,1,1,App,0,4,0,0,9,Late,3,2985.0339054704887,0
SMB15565837,Yusuf,87,Male,Single,Tertiary,Increasing,Cleared,8,15725.811104686303,Active,0,0,None,0,1,3,12,6,On-time,2,8838.462997372464,0
SMB15565838,Ibrahim,50,Male,Divorced,Secondary,Decreasing,Active,7,8333.999764596454,Dormant,0,1,Both,1,6,0,5,1,Late,4,9013.88615535573,1
SMB15565839,Ibrahim,70,Female,Single,Tertiary,Increasing,Defaulted,4,12090.211147116654,Active,0,1,USSD,1,8,3,1,9,On-time,2,2916.8401014661117,0
SMB15565840,Sule,39,Male,Divorced,Primary,Stable,Active,5,23960.41041438181,Active,0,0,App,0,0,1,5,8,On-time,2,1557.531405919398,0
SMB15565841,Nwachukwu,38,Male,Married,Primary,Stable,Defaulted,8,21818.52842633254,Dormant,1,1,USSD,0,1,2,13,3,On-time,1,1490.924207703135,1
SMB15565842,Chukwu,87,Female,Married,Secondary,Stable,Active,5,15155.477669337111,Active,1,1,USSD,0,5,3,0,9,On-time,3,4844.251953919391,0
SMB15565843,Adebayo,87,Female,Single,Primary,Stable,Cleared,2,9438.697788144602,Dormant,1,0,None,0,7,4,14,9,On-time,0,1329.1849540135293,0
SMB15565844,Ibrahim,21,Male,Single,Primary,Stable,Cleared,3,38349.30869246629,Active,1,1,App,0,6,2,1,0,Late,4,4733.402220952253,0
SMB15565845,Chukwu,79,Male,Married,Primary,Increasing,Active,7,49515.379403010935,Active,0,1,None,1,8,2,8,7,Late,4,4619.340728598574,1
SMB15565846,Chukwu,79,Male,Married,None,Increasing,Active,3,39111.78744056483,Dormant,0,0,USSD,0,1,0,5,3,On-time,0,8841.10213205657,0
SMB15565847,Adebayo,41,Male,Married,Primary,Stable,Active,8,15500.911415905519,Dormant,1,1,USSD,0,8,3,7,6,Late,4,2962.10439800037,0
SMB15565848,Nwachukwu,72,Female,Single,Primary,Increasing,Cleared,1,12995.639109194535,Active,0,1,None,1,3,2,6,2,On-time,1,5606.524586409774,1
SMB15565849,Adekunle,26,Male,Married,Secondary,Stable,Defaulted,5,11665.627927230973,Active,0,1,USSD,0,2,4,8,8,On-time,2,7434.998642840964,0
SMB15565850,Olawale,20,Male,Married,None,Stable,Defaulted,3,7698.058649962778,Dormant,1,1,None,0,6,4,8,4,Late,1,5959.147950499064,0
SMB15565851,Abdullahi,48,Female,Married,Primary,Stable,Active,5,28015.19693492276,Active,1,1,App,1,4,4,10,4,On-time,1,9540.67844980137,0
SMB15565852,Olawale,57,Male,Married,Tertiary,Increasing,Cleared,5,30664.618225713864,Active,0,1,USSD,0,4,0,3,2,On-time,1,6022.7748049977,0
SMB15565853,Eze,53,Female,Married,None,Stable,Cleared,2,35569.630372493724,Active,1,0,USSD,1,1,1,6,8,Late,0,9018.62178470112,1
SMB15565854,Yusuf,41,Male,Married,Primary,Stable,Cleared,7,34330.45517574973,Active,1,1,USSD,0,5,3,4,2,On-time,3,2450.5638925374296,0
SMB15565855,Abdullahi,23,Female,Single,Tertiary,Stable,Cleared,2,15324.33225288574,Active,0,1,USSD,0,5,2,6,1,On-time,0,5607.527727794363,0
SMB15565856,Eze,83,Male,Married,None,Decreasing,Active,4,17185.23926444548,Active,1,0,USSD,0,3,3,3,8,On-time,0,5433.059265666544,0
SMB15565857,Ibrahim,21,Female,Single,None,Stable,Active,5,34394.21223667455,Active,0,1,App,0,4,2,11,8,On-time,1,9894.521101400835,0
SMB15565858,Yusuf,23,Female,Married,Primary,Increasing,Active,4,18122.93439839779,Active,1,0,None,0,6,0,9,9,Late,3,2045.063133991235,0
SMB15565859,Okafor,68,Male,Married,Primary,Increasing,Active,4,11418.53629134634,Active,1,1,None,0,7,3,10,3,On-time,0,1409.9339836597746,0
SMB15565860,Adebayo,79,Female,Single,Secondary,Increasing,Active,5,19342.47153114024,Dormant,1,1,USSD,1,5,0,10,3,On-time,3,6116.720776304204,1
SMB15565861,Abdullahi,74,Female,Single,Tertiary,Decreasing,Active,4,14332.123721320906,Active,0,1,USSD,1,4,0,0,9,On-time,1,2236.9214333206332,0
SMB15565862,Abdullahi,83,Female,Single,None,Stable,Active,4,5327.323339710312,Dormant,0,0,USSD,0,2,3,3,5,On-time,0,6391.553456502898,1
SMB15565863,Onuoha,25,Female,Married,Secondary,Stable,Cleared,5,41676.806211556024,Dormant,0,1,USSD,1,6,3,14,8,On-time,3,9724.89088519551,1
SMB15565864,Ibrahim,43,Female,Divorced,Secondary,Decreasing,Cleared,7,42802.45806869478,Active,1,0,App,1,7,2,12,7,On-time,4,9465.059953974576,0
SMB15565865,Adekunle,68,Male,Single,None,Stable,Cleared,6,11767.764708177094,Dormant,0,1,None,1,2,4,9,9,On-time,0,2311.03024643998,1
SMB15565866,Chukwu,62,Male,Divorced,Secondary,Increasing,Cleared,6,4173.837776734886,Active,1,1,USSD,0,4,0,14,2,On-time,0,1708.9634821214895,0
SMB15565867,Yusuf,61,Female,Married,Primary,Increasing,Active,8,37202.544430207796,Dormant,0,1,USSD,1,1,1,2,5,On-time,0,5607.392871625458,0
